@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
6CM4,8NU,NON-POLYMER,410.484,RAPZEAPATHNIPO-UHFFFAOYSA-N,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)c4c5ccc(cc5on4)F
6LUQ,GMJ,NON-POLYMER,375.864,LNEPOXFFQSENCJ-UHFFFAOYSA-N,c1cc(ccc1C(=O)CCCN2CCC(CC2)(c3ccc(cc3)Cl)O)F
6VMS,08Y,NON-POLYMER,654.594,OZVBMTJYIDMWIL-AYFBDAFISA-N,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O
7DFP,SIP,NON-POLYMER,395.47,DKGZKTPJOSAWFA-UHFFFAOYSA-N,c1ccc(cc1)N2CNC(=O)C23CCN(CC3)CCCC(=O)c4ccc(cc4)F
7JVR,08Y,NON-POLYMER,654.594,OZVBMTJYIDMWIL-AYFBDAFISA-N,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O
8IRS,R5F,non-polymer,315.473,KFQYTPMOWPVWEJ-INIZCTEOSA-N,CCCN(CCc1cccs1)[C@H]2CCc3c(cccc3O)C2
8TZQ,LDP,NON-POLYMER,153.178,VYFYYTLLBUKUHU-UHFFFAOYSA-N,c1cc(c(cc1CCN)O)O
8U02,LDP,NON-POLYMER,153.178,VYFYYTLLBUKUHU-UHFFFAOYSA-N,c1cc(c(cc1CCN)O)O
6S3Q,PC1,NON-POLYMER,790.145,NRJAVPSFFCBXDT-HUESYALOSA-N,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P@@](=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
6X2Z,ASP,L-PEPTIDE LINKING,133.103,CKLJMWTZIZZHCS-REOHCLBHSA-N,C([C@@H](C(=O)O)N)C(=O)O
6X3E,ASP,L-PEPTIDE LINKING,133.103,CKLJMWTZIZZHCS-REOHCLBHSA-N,C([C@@H](C(=O)O)N)C(=O)O
6X3F,CHT,NON-POLYMER,104.171,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO
7NSG,PC1,NON-POLYMER,790.145,NRJAVPSFFCBXDT-HUESYALOSA-N,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P@@](=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
8CTC,HG,NON-POLYMER,200.59,BQPIGGFYSBELGY-UHFFFAOYSA-N,[Hg+2]
8CTD,HG,NON-POLYMER,200.59,BQPIGGFYSBELGY-UHFFFAOYSA-N,[Hg+2]
8CUA,HG,NON-POLYMER,200.59,BQPIGGFYSBELGY-UHFFFAOYSA-N,[Hg+2]
2Y23,PG0,NON-POLYMER,120.147,SBASXUCJHJRPEV-UHFFFAOYSA-N,COCCOCCO
5FM8,TRS,NON-POLYMER,122.143,LENZDBCJOHFCAS-UHFFFAOYSA-O,C(C(CO)(CO)[NH3+])O
5MWB,BGC,"D-saccharide, beta linking",180.156,WQZGKKKJIJFFOK-VFUOTHLCSA-N,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
3SP6,IL2,NON-POLYMER,360.487,HIFJCPQKFCZDDL-GBSCXWAGSA-N,CC#CC[C@@H](C)[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/C2)O)O
6D0Y,GTA,NON-POLYMER,787.441,QQOHNVHGNZYSBP-XPWFQUROSA-O,C[n+]1cn(c2c1C(=O)NC(=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)n5cnc6c5ncnc6N)O)O)O)O
2BO9,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
3T54,ATP,NON-POLYMER,507.181,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
3T7A,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
3T99,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
3T9A,ANP,NON-POLYMER,506.196,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
